gene_symbol,cortical plate,intermediate zone,marginal zone,subpial granular zone,subplate zone,subventricular zone,ventricular zone
61E3.4,-0.29544709979878964,0.7765675631876373,1.511376955739919,0.09878285399331177,0.07509909661070097,-1.0228437732556659,-1.1435355964771103
A1BG,1.2279479519972154,0.2701919497975231,0.4009907655788951,-0.5983098466241388,0.7644732848862462,-1.1772659323894978,-0.8880281732462427
A1CF,0.746897484233062,-0.1472366763876412,0.8954756841567898,-0.722927891027345,-0.3971223302131616,-0.1905886050673956,-0.18449766569430853
A2LD1,-1.2356215826844832,-0.3397002765791193,-0.6193382372819943,0.8038997137468156,-0.6787583874899406,1.1126177083434052,0.9569010619453188
A2M,-1.5346466300984878,0.631443132833937,0.1523163416999109,1.3637232409886113,-0.29302470939287534,-0.004794731201485398,-0.31501664482961167
A2ML1,-0.7134881248417915,0.44751286417132335,0.6040748790119337,-0.9159496212416763,-0.9283211667138481,0.8379132795321503,0.6682578900819105
A3GALT2P,-0.04351622729101516,-0.48629488331384546,0.3294781039109866,0.7208138040979235,0.23855941130513708,-0.27140823025120364,-0.48763197845798256
A4GALT,-1.1441130872040701,0.5073177622177337,-0.12060380999794504,1.7978534435889177,-0.3637331901959117,-0.2123740257948156,-0.4643470926139087
A4GNT,0.9941108506859094,-0.2237204885650195,-0.28014958590523215,-1.1276479079448043,0.22781702883808844,0.7660169170501417,-0.35642681415908456
AAAS,-0.37249851876795975,-0.2203962545250483,-0.17759949264044728,-0.42701277998876913,-1.1630055101218542,1.279173531608152,1.0813390244359231
AACS,1.4258202126261161,-0.1508169202317937,0.14313985312190594,-1.4184922769789732,0.7497554960314408,-0.22950937138834276,-0.5198969931803507
AADAC,-0.3876743531678538,-0.10405722210960669,0.8095074938778206,0.4896744433111656,-0.0277586827856888,-0.13753131018344839,-0.6421603689423874
AADACL2,-0.3484046148869133,-0.19499201151318826,-0.4915457824384276,1.9379300358468612,-0.545416043973476,-0.2684817890409654,-0.08908979399389046
AADACL3,0.672427238225271,0.017422869116570205,1.2913903737643186,-1.3837332893906729,0.12518637100136942,0.01749943284904147,-0.7401929955658947
AADACL4,0.6418841137996619,-0.8083814628949785,0.18482534169273304,-0.19336126097825723,0.1335877780169378,-0.023724776642685526,0.06517026700658736
AADAT,1.1288560110822938,0.07408295623784245,0.6556659640700288,-1.0443335245268899,0.7284079426288781,-0.64429307468909,-0.8983862748030554
AAED1,-0.25145795089645306,-0.6607995499252923,-1.0203599608398757,0.21733050437919507,-0.7024626317857364,0.7966299598426193,1.6211196292255416
AAGAB,1.2968187135915585,0.7902452837320023,0.2547632331613393,-0.9398516096129872,0.2604749402647368,-1.1259898525882708,-0.536460708548382
AAK1,0.7081380503714032,0.7019856333885308,0.1922641503027947,-0.49949756801956124,-0.135560669083679,-0.5595890638044827,-0.4077405331550035
